colors
"[""unimaginable"", ""splendor and pride"", ""believable buff"", ""greyish"", ""herb cornucopia"", ""violet vision"", ""retro avocado"", ""wind chill"", ""cadet blue"", ""white dogwood"", ""inviting ivory"", ""raging bull"", ""winds breath"", ""from the archives"", ""dark green blue"", ""gilded leaves"", ""eggshell cream"", ""baja dunes"", ""gallery green"", ""jetstream""]"
"[""loyalty"", ""country mist"", ""summer sun pink"", ""classic bouquet"", ""eider white"", ""medium ruby"", ""lincoln green"", ""flowering herbs"", ""dark grass green"", ""paprika"", ""harp strings"", ""sea glass"", ""dark sea"", ""princess ivory"", ""frost"", ""georgian revival blue"", ""fresh air"", ""balance green"", ""mountain forest"", ""lido green""]"
"[""fudge truffle"", ""crimson red"", ""raked leaves"", ""sirocco"", ""bubble tea"", ""unreal teal"", ""malted milk"", ""milady"", ""navy"", ""blue yonder"", ""pastel green"", ""greening"", ""thunder bay"", ""nimbus cloud"", ""dusky rose"", ""spice delight"", ""jade"", ""fresh butter"", ""monza"", ""light breeze""]"
"[""toolbox"", ""frontenac brick"", ""metropolis"", ""frostine"", ""cedar"", ""eggplant"", ""topaz"", ""bullock gray"", ""oceanic climate"", ""heat wave"", ""gulfstream"", ""sinbad"", ""barefoot in the grass"", ""lima"", ""salsa"", ""peppermint leaf"", ""polar bear"", ""dutch cocoa"", ""dunmore yellow"", ""lime juice""]"
"[""jasper yellow"", ""cherokee"", ""cachet cream"", ""brookview"", ""paris"", ""attitude gray"", ""rosy glow"", ""herbal mist"", ""cinnamon slate"", ""blue edge"", ""rock bottom"", ""light lavendar"", ""beech nut"", ""monroe bisque"", ""sweet vibrations"", ""sausalito port"", ""aubergine"", ""capri seas"", ""silky bamboo"", ""pale turquoise""]"
"[""resolution blue"", ""summer harvest"", ""city rain"", ""salmon"", ""consentino chardonnay"", ""blue allure"", ""alpine"", ""cumulus cloud"", ""deep royal"", ""sea fog"", ""gleeful"", ""meditative"", ""brandied apple"", ""october leaves"", ""red tomato"", ""mystere"", ""alpine frost"", ""cherry cola"", ""red potato"", ""pink moment""]"
"[""parmesan"", ""botanical green"", ""serious gray"", ""purple sky"", ""provence blue"", ""rainforest dew"", ""tapestry red"", ""exotic palm"", ""purple balloon"", ""tom thumb"", ""library pewter"", ""collectible"", ""patient white"", ""spring rain"", ""dragonfly"", ""flame yellow"", ""indulgent"", ""imperial gray"", ""berry charm"", ""yellow finch""]"
"[""patriarch"", ""lime"", ""pearl river"", ""phantom mist"", ""prophetic sea"", ""big surf"", ""turtle green"", ""canvas tan"", ""bison hide"", ""evening hush"", ""stream"", ""chestnut stallion"", ""head over heels"", ""shine baby shine"", ""astra"", ""tropical oasis"", ""muse"", ""dill"", ""natural gray"", ""ash white""]"
"[""thundercloud"", ""dark seafoam"", ""licorice"", ""lilac mist"", ""eastlake gold"", ""sierra"", ""southern beauty"", ""soda pop"", ""farm fresh"", ""freshwater marsh"", ""donegal tweed"", ""gulf blue"", ""iris pink"", ""rose brocade"", ""princess pink"", ""chipotle paste"", ""pale moon"", ""pomp and power"", ""norfolk cream"", ""calcium""]"
"[""deep blue"", ""carbon"", ""not so innocent"", ""meadow glen"", ""banana yellow"", ""petal bloom"", ""restful white"", ""jay bird"", ""penthouse"", ""garden swing"", ""coffee bean"", ""potters wheel"", ""ocher"", ""lafayette green"", ""blue rapids"", ""winter wheat"", ""truffle"", ""autumn maple"", ""dark byzantium"", ""albany white""]"
