colors
"[""everblooming"", ""tempe star"", ""azure mist"", ""blowing kisses"", ""victorian gold"", ""rich bordeaux"", ""brilliant amber"", ""middle blue purple"", ""dark vanilla"", ""dark teal"", ""binary star"", ""prestige"", ""midnight show"", ""turquoise powder"", ""cotton blossom"", ""moroccan red"", ""once upon a time"", ""misted fern"", ""kimono violet"", ""bridal veil""]"
"[""larchmere"", ""wild lilac"", ""saguaro"", ""borscht"", ""tropical holiday"", ""ground ginger"", ""bunny nose pink"", ""pavement gray"", ""dark jungle green"", ""salem"", ""quartz white"", ""boudoir blue"", ""quiet shore"", ""salty tear"", ""brandied pears"", ""neon tangerine"", ""pleasant valley"", ""fountain spout"", ""perrywinkle"", ""golden delicious""]"
"[""baked pretzel"", ""fuchsia purple"", ""hawaiian passion"", ""chianti"", ""tuscan"", ""cascade beige"", ""mustard olive"", ""bazaar"", ""meat brown"", ""frosted berry"", ""mayan gold"", ""half sea fog"", ""wasabi powder"", ""casal"", ""tantalizing teal"", ""deep koamaru"", ""deep cove"", ""rosso corsa"", ""pearl violet"", ""silver sky""]"
"[""dust"", ""imperial yellow"", ""denim wash"", ""illuminating emerald"", ""stately white"", ""essential teal"", ""carmine red"", ""tobago"", ""ranch brown"", ""neon green"", ""weston flax"", ""dull brown"", ""marshland"", ""white lie"", ""creamy peach"", ""brighton rock candy"", ""astronaut blue"", ""french press"", ""silence"", ""yosemite yellow""]"
"[""intrigue"", ""bryce canyon"", ""beach house beige"", ""mixed berry jam"", ""provincial park"", ""cinnamon cherry"", ""jute"", ""smokestack gray"", ""nandor"", ""blackberry jam"", ""edwardian lace"", ""light beige"", ""seattle gray"", ""claret rose"", ""sultry smoke"", ""sonnet"", ""wild grass"", ""twilight pearl"", ""city of bridges"", ""purpley pink""]"
"[""chivalrous"", ""musical mist"", ""lime rickey"", ""nugget gold"", ""flapper dance"", ""rally green"", ""dangerously elegant"", ""blanched almond"", ""black pepper"", ""dancing mist"", ""caribbean blue"", ""silver sage"", ""silver spring"", ""brooklet"", ""shuttle grey"", ""lotus flower"", ""sojourn blue"", ""havana cream"", ""crater lake"", ""tawny rose""]"
"[""westminster"", ""aegean mist"", ""glittery yellow"", ""sherwood forest"", ""medieval forest"", ""shimmer"", ""white truffle"", ""coral stone"", ""rose quartz"", ""castellina"", ""popstar"", ""green grey"", ""blue bay marina"", ""white mink"", ""infatuation"", ""carried away"", ""metropolitan"", ""glacier"", ""rustic cream"", ""honey oak""]"
"[""renwick olive"", ""winchester sage"", ""tierno"", ""blanc"", ""artic ocean"", ""fleeting green"", ""organic field"", ""clover"", ""cavern echo"", ""soldier green"", ""man on the moon"", ""lyons red"", ""heather"", ""gentle repose"", ""crisp green"", ""deco red"", ""puke yellow"", ""philippine blue"", ""summerdale gold"", ""white hyacinth""]"
"[""eagle ridge"", ""fiesta pink"", ""peridot"", ""cadmium yellow"", ""twinkled pink"", ""sweet vanilla"", ""colonial revival gray"", ""very light tangelo"", ""ice cube"", ""chestnut"", ""creme"", ""sand pearl"", ""fire bush"", ""samovar silver"", ""charade"", ""tippy toes"", ""absolute zero"", ""hepplewhite ivory"", ""classic olive"", ""rose colored""]"
"[""classic ivory"", ""almond beige"", ""seven seas"", ""mascarpone"", ""sunny days"", ""undersea"", ""medium purple"", ""mauve"", ""peach fade"", ""lazy sunday"", ""irish mist"", ""seaside resort"", ""gold crest"", ""serenity"", ""butter cream"", ""gallery taupe"", ""steel pink"", ""pale sea mist"", ""baby boy blue"", ""butterscotch sundae""]"
"[""navy purple"", ""glamour pink"", ""sparkling brook"", ""comet"", ""court green"", ""cornell red"", ""deep creek"", ""purple rain"", ""thunderbird"", ""red red red"", ""spanish crimson"", ""aztec yellow"", ""blue charcoal"", ""medici malachite"", ""gray wisp"", ""ocean city blue"", ""golden bark"", ""blueberry patch"", ""dark sky blue"", ""sea cap""]"
"[""intense teal"", ""alpaca"", ""a la mode"", ""chamois"", ""handsome hue"", ""coral"", ""victorian purple"", ""frosted petal"", ""shoreline"", ""bridle path"", ""deer valley"", ""deep azure"", ""trick or treat"", ""touch of gray"", ""french manicure"", ""pink peach"", ""topeka taupe"", ""teatime"", ""empire gold"", ""ceremonial gold""]"
"[""blue cypress"", ""naples sunset"", ""mustard yellow"", ""royal raisin"", ""pebble cream"", ""greener pastures"", ""garden grove"", ""amiable orange"", ""dignified purple"", ""ocean shadow"", ""lake shore trail"", ""old celadon"", ""nantucket dune"", ""dusty mountain"", ""blanket brown"", ""daffodil yellow"", ""purply pink"", ""dusty lavender"", ""browny green"", ""old pickup blue""]"
"[""dark lime"", ""dark cerulean"", ""citronette"", ""nyanza"", ""pine sprigs"", ""macaroni and cheese"", ""secret scent"", ""unspoken love"", ""kiwi squeeze"", ""pressed violet"", ""versatile gray"", ""deep fuchsia"", ""baby blue eyes"", ""brittany blue"", ""cherish cream"", ""brentwood"", ""shaved ice"", ""wild thistle"", ""brown ridge"", ""youth blush""]"
"[""magic potion"", ""barely there"", ""sebring white"", ""canyon cloud"", ""cool aqua"", ""holly"", ""kidnapper"", ""charter blue"", ""biloba flower"", ""hint of yellow"", ""construction zone"", ""in the tropics"", ""honey bird"", ""old lavender"", ""morning sun"", ""jonesboro cream"", ""night rider"", ""bonfire"", ""wild strawberry"", ""liseran purple""]"
"[""osage orange"", ""gold hearted"", ""blueberry twist"", ""evaporation"", ""harbor gray"", ""opal cream"", ""lotus pod"", ""wells gray"", ""corn husk green"", ""twilight blush"", ""palatial white"", ""lavender blush"", ""brownish green"", ""chrome white"", ""macaroon cream"", ""green glaze"", ""fashion fuchsia"", ""dull teal"", ""tusk"", ""leland white""]"
"[""shaker gray"", ""amber"", ""lavender bouquet"", ""deep ochre"", ""navy green"", ""ginger sugar"", ""vitamin c"", ""tuna"", ""chocolate sparkle"", ""light lilac"", ""peacock feathers"", ""salsa dancing"", ""moss print"", ""riding boots"", ""aceituna picante"", ""ruber"", ""joyous"", ""sage"", ""white"", ""celery sprig""]"
"[""nature lover"", ""french beige"", ""tarawera"", ""half pearl lusta"", ""sweet celadon"", ""charisma"", ""antique pearl"", ""peau de soie"", ""light lime"", ""surf city"", ""royal gold"", ""boreal forest"", ""montana agate"", ""meadow phlox"", ""ivory porcelain"", ""gala ball"", ""emberglow"", ""acadia white"", ""spice cake"", ""azureish white""]"
"[""liquid gold"", ""licorice stick"", ""lavender lace"", ""marsh grass"", ""red beech"", ""japanese koi"", ""grenada green"", ""aspen snow"", ""red parrot"", ""lime tart"", ""chase green"", ""middle green"", ""italian villa"", ""oriole"", ""white chocolate"", ""light turquoise"", ""sawgrass"", ""rouge charm"", ""golden bounty"", ""fruit cocktail""]"
"[""baked terra cotta"", ""dark night"", ""film fest"", ""misty isle"", ""thai teal"", ""fig leaf"", ""wilderness"", ""smokin hot"", ""constant coral"", ""sesame crunch"", ""buddha gold"", ""pizazz"", ""pinata"", ""landscape"", ""whitall brown"", ""valley forge tan"", ""reddish orange"", ""ice cave"", ""deep caviar"", ""antelope canyon""]"
"[""fig preserves"", ""cosmetic blush"", ""silverpointe"", ""valentine"", ""citrine white"", ""coastal path"", ""gibraltar"", ""christalle"", ""golden nugget"", ""easter hunt"", ""mountain elk"", ""traditional yellow"", ""bruise"", ""lawn green"", ""twig basket"", ""melon ice"", ""eternity"", ""gold leaf"", ""milk chocolate"", ""jute brown""]"
"[""scotch plains green"", ""nero"", ""gallery white"", ""warm sand"", ""blue suede"", ""iced mauve"", ""castleton mist"", ""greenhow blue"", ""orioles orange"", ""central mauve"", ""lemon chiffon"", ""dunmore cream"", ""sunny afternoon"", ""reddened earth"", ""sparkling sun"", ""iced slate"", ""evening grove"", ""cascade mountains"", ""kingsport gray"", ""spiced wine""]"
"[""atmospheric"", ""golden rule"", ""blue belle island"", ""captivating teal"", ""apple core"", ""light khaki"", ""kombu green"", ""blue bell"", ""periwinkle dusk"", ""camouflage green"", ""westminster gold"", ""timeless day"", ""whisper yellow"", ""barley grass"", ""earth"", ""big foot feet"", ""warm onyx"", ""daytona peach"", ""forest valley green"", ""black of night""]"
"[""shangri la"", ""clover green"", ""homestead green"", ""maid of the mist"", ""burnham"", ""lightweight beige"", ""palace blue"", ""spacious skies"", ""rainstorm"", ""whitewash oak"", ""brazilian tan"", ""volt"", ""level up"", ""hot purple"", ""caribbean cool"", ""mauve melody"", ""echo valley"", ""yellow lilies"", ""deep river"", ""sunshade""]"
"[""christi"", ""muted purple"", ""burnished caramel"", ""traditional gray"", ""gray pepper"", ""light plum"", ""knotweed"", ""weeping willow"", ""pool tide"", ""mesa peach"", ""red willow"", ""welded iron"", ""stromboli"", ""hickory branch"", ""white heron"", ""bright purple"", ""buff"", ""english ochre"", ""late wheat"", ""ceiling bright white""]"
"[""seduction"", ""tussock"", ""sepia filter"", ""pea soup"", ""brookline beige"", ""gimblet"", ""savory cream"", ""soft buttercup"", ""river mist"", ""cheese powder"", ""blackberry farm"", ""bit of lime"", ""blush pink"", ""dark gunmetal"", ""cricket field"", ""icy purple"", ""showtime"", ""pale rose"", ""fantasy pink"", ""caliente""]"
"[""purple rubiate"", ""smoke tree"", ""wild sand"", ""sunray"", ""galway"", ""gunsmoke"", ""sawdust"", ""kilamanjaro"", ""verdant forest"", ""graytint"", ""interesting aqua"", ""oak creek"", ""charm"", ""hurricane"", ""up forest green"", ""fresh green"", ""kensington green"", ""scandal"", ""mediterranean charm"", ""paper mache""]"
"[""bluegrey"", ""valencia"", ""black"", ""derbyshire"", ""frappe"", ""cedar chest"", ""soho loft"", ""firefly"", ""medium jungle green"", ""jester"", ""fashion pink"", ""iris petal"", ""josephine"", ""geranium leaf"", ""lady liberty"", ""delicate peach"", ""alpine trail"", ""long valley birch"", ""wild wheat"", ""nice blue""]"
"[""khaki shade"", ""toledo"", ""hedgehog brown"", ""electric purple"", ""hollingsworth green"", ""wine frost"", ""argyle"", ""happy valley"", ""glacial stream"", ""frozen canal"", ""strawberry wine"", ""calico rose"", ""darkroom"", ""grand heron"", ""peach parfait"", ""gothic arch"", ""stone fence"", ""jamaican sea"", ""morning light"", ""flamingo pink""]"
"[""blue sky"", ""red stage"", ""tree frog"", ""spinach dip"", ""grays harbor"", ""jazz"", ""moonstone blue"", ""retiring blue"", ""ashwood moss"", ""truly olive"", ""hopeful dream"", ""kenya"", ""promenade"", ""expedition khaki"", ""arizona peach"", ""ashwood gray"", ""honey mist"", ""scarlett"", ""french silver"", ""steep cliff gray""]"
"[""wright brown"", ""fern leaf"", ""minestrone"", ""gobi tan"", ""cognac"", ""khaki"", ""dark ash"", ""yellow corn"", ""iroko"", ""dark powder blue"", ""flamenco"", ""blue fox"", ""grand sunset"", ""graphic grape"", ""repose gray"", ""pumpkin drizzle"", ""spring lilac"", ""crail"", ""fire and ice"", ""warm sienna""]"
"[""evening symphony"", ""forest green"", ""acadia green"", ""beach foam"", ""bohemian black"", ""nordic"", ""mayo teal"", ""rich brocade"", ""smokey cream"", ""appalachian brown"", ""roulette"", ""blushing apricot"", ""intuitive"", ""palmetto pink"", ""glass sapphire"", ""chivalry copper"", ""prim"", ""aspiring blue"", ""emperor"", ""creamy beige""]"
"[""moroccan henna"", ""steam"", ""laurel pink"", ""dark slate gray"", ""hazy lilac"", ""pinelands"", ""library red"", ""geddy white"", ""salmon stream"", ""cottage rose"", ""light taupe"", ""blue viola"", ""proper purple"", ""deep smoke signal"", ""dark jade"", ""charcoal plum"", ""fresh watermelon"", ""deep tuscan red"", ""mortar"", ""crocus""]"
"[""liberty"", ""refined"", ""fertile green"", ""tower grey"", ""sweet maple"", ""sweet chamomile"", ""intergalactic"", ""gala pink"", ""outdoor land"", ""electric orange"", ""cilantro cream"", ""irish cream"", ""flying saucer"", ""soft satin"", ""just blush"", ""rosepine"", ""snow leopard"", ""aqua rapids"", ""kobicha"", ""porcelain blue""]"
"[""pale sagebrush"", ""winter solstice"", ""bedford brown"", ""fantasia"", ""citronella"", ""summer peach"", ""sapphire lace"", ""twilight gold"", ""laurel tree"", ""cordial"", ""babbling brook"", ""muscat grape"", ""garden path"", ""day spa"", ""dulce de leche"", ""city shadow"", ""blood orange"", ""lost summit"", ""imperial purple"", ""perky peach""]"
"[""frosty morning"", ""pink purple"", ""shaded spruce"", ""sea ice"", ""massicot"", ""fairmont green"", ""avant garde"", ""shoji white"", ""opus"", ""pictorial carmine"", ""flavescent"", ""dark berry"", ""complex gray"", ""cedar plank"", ""secret"", ""kashmir pink"", ""arctic flow"", ""aquamarine"", ""pine green"", ""birch""]"
"[""water flow"", ""victorian pearl"", ""eggwhite"", ""cinnamon brandy"", ""miami green"", ""olive shade"", ""silk gown"", ""great frontier"", ""mountain stream"", ""renoir bisque"", ""award blue"", ""rookwood dark brown"", ""sage tint"", ""very light blue"", ""baby dreams"", ""kermit green"", ""barbados sand"", ""touch wood"", ""fallen timber"", ""lime froth""]"
"[""masada"", ""waterbury green"", ""moonstruck"", ""bleeker beige"", ""grape mist"", ""at home with nature"", ""pharlap"", ""spring meadow green"", ""watery"", ""gray cloud"", ""telemagenta"", ""winter melon"", ""burnt orange"", ""peach"", ""beloved pink"", ""regal red"", ""zany pink"", ""maverick"", ""bluey grey"", ""vanilla cookie""]"
"[""electric green"", ""classy red"", ""shanghai peach"", ""brilliant white"", ""concrete"", ""spirit whisper"", ""possibly pink"", ""icy wind"", ""five dollar bill"", ""hidden cove"", ""sugarplum"", ""boreal"", ""stone house"", ""mint fizz"", ""circus peanut"", ""deer path"", ""ivory tusk"", ""violet sparkle"", ""grassy field"", ""tawny bisque""]"
"[""tempest"", ""yellow"", ""brazilian citrine"", ""daybreak sun"", ""brick red"", ""misty meadow"", ""gray mist"", ""soft shoe"", ""renwick rose beige"", ""bellflower"", ""serengeti sand"", ""mint condition"", ""burgundy rose"", ""bright grey"", ""bayshore beige"", ""angelic white"", ""malaysian mist"", ""green cove springs"", ""napa harvest"", ""one to remember""]"
"[""toasted pecan"", ""blue bolt"", ""beaver brown"", ""crimson glory"", ""reflection"", ""status bronze"", ""sweet butter"", ""rich black"", ""opal essence"", ""garden stroll"", ""new age"", ""hearty orange"", ""dried lavender"", ""rainy season"", ""washed denim"", ""graceful"", ""useful gray"", ""solar storm"", ""african violet"", ""china silk""]"
"[""jardin de hierbas"", ""french parsley"", ""fireglow"", ""deep shale"", ""rainforest foliage"", ""moonlight"", ""barberry"", ""linen white"", ""very light pink"", ""winter glaze"", ""surf crest"", ""gentle butterfly"", ""magnet"", ""clairvoyant"", ""anime"", ""windsor moss"", ""lavender sparkle"", ""cupcake pink"", ""hampton"", ""prussian plum""]"
"[""ruffled iris"", ""rainwater"", ""yellow green"", ""lime tree"", ""honey bear"", ""moroccan spice"", ""killala green"", ""luxurious red"", ""oakwood manor"", ""pumpkin"", ""red coral"", ""tapenade"", ""greenish beige"", ""marigold"", ""azul"", ""marshmallow whip"", ""jasmine"", ""wood violet"", ""grapy"", ""elm""]"
"[""gravel gray"", ""filtered sunlight"", ""polished mahogany"", ""monmouth green"", ""thin mint"", ""agreeable gray"", ""burnt toffee"", ""ultra violet"", ""purple potion"", ""tibetan orange"", ""crisp morning air"", ""autumn blush"", ""dark as night"", ""affair"", ""light greenish blue"", ""great falls"", ""ylang ylang"", ""bracken"", ""briny"", ""iced green apple""]"
"[""english green"", ""honeybell"", ""bright cyan"", ""icing rose"", ""heavenly song"", ""mocha accent"", ""full moon"", ""classical white"", ""muddy york"", ""winter sunshine"", ""royal flax"", ""georgian brick"", ""brave purple"", ""turmeric"", ""breathe"", ""powell buff"", ""maximum blue green"", ""ginger jar"", ""almond truffle"", ""seagull""]"
"[""burbank blue"", ""captivating cream"", ""copper kettle"", ""glazed raspberry"", ""midnight express"", ""noble gray"", ""burnt caramel"", ""beacon gray"", ""blueberry buckle"", ""dark goldenrod"", ""green tea leaf"", ""very pale green"", ""green bay"", ""terra cotta pot"", ""walnut"", ""himalayan poppy"", ""florida orange"", ""very light purple"", ""night mist"", ""sugared peach""]"
"[""orangered"", ""lavender sachet"", ""santo domingo cream"", ""bella pink"", ""campfire ash"", ""napier green"", ""mandarin orange"", ""la vie en rose"", ""aleutian"", ""han blue"", ""seafoam"", ""quench blue"", ""salon rose"", ""pancho"", ""fall leaves"", ""ancient scroll"", ""flat green"", ""falling star"", ""sounds of nature"", ""barn red""]"
"[""ship grey"", ""brown pod"", ""hot pink"", ""gladstone tan"", ""russian green"", ""shy smile"", ""baked biscotti"", ""volcanic blast"", ""face powder"", ""chiffon"", ""grassy savannah"", ""almond toast"", ""fiesta orange"", ""yellow brick road"", ""peach sorbet"", ""bottle green"", ""star shine"", ""caraway seeds"", ""burnt crimson"", ""wipeout""]"
"[""hacienda blue"", ""misty memories"", ""tacha"", ""sullivan green"", ""dash of curry"", ""thunder gray"", ""adrift"", ""ambiance"", ""silver chalice"", ""streetwise"", ""grey nurse"", ""sandstone cove"", ""toxic green"", ""ibis"", ""champagne gold"", ""pale oak"", ""gusto gold"", ""bone china"", ""coffeehouse chocolate"", ""discreet white""]"
"[""pink popsicle"", ""kismet"", ""apparition"", ""lichen green"", ""red bluff"", ""gentle cream"", ""exciting orange"", ""smokey slate"", ""metallic green"", ""mountain meadow"", ""cherry tree"", ""paris rain"", ""rose bonbon"", ""muted pink"", ""bee"", ""tender"", ""feldgrau"", ""summer dragonfly"", ""ku crimson"", ""hodley red""]"
"[""spa day"", ""golden retriever"", ""exotic pink"", ""finesse"", ""dried blood"", ""conditioner"", ""quincy"", ""velvet morning"", ""watermelon"", ""chlorophyll green"", ""tatami tan"", ""lime yellow"", ""port gore"", ""gecko green"", ""fenland"", ""adaptive shade"", ""somerville red"", ""texas sage"", ""pansy purple"", ""butterfly garden""]"
"[""boot cut"", ""punch"", ""grass root"", ""golden cherry"", ""african plain"", ""downtown gray"", ""toile blue"", ""sunset boulevard"", ""cyberspace"", ""vegas gold"", ""zeus"", ""autumn russet"", ""park picnic"", ""slip"", ""tinsmith"", ""seaport blue"", ""pebble path"", ""adirondack green"", ""rodeo"", ""on location""]"
"[""tana"", ""deep oak"", ""boardwalk"", ""green grass"", ""temptation"", ""mill springs blue"", ""cozumel"", ""tropical fruit"", ""caramel sundae"", ""italian ice green"", ""forest moss"", ""elusive dawn"", ""safari vest"", ""splash"", ""light light blue"", ""admiration"", ""golden mist"", ""country linens"", ""easter lily"", ""niagara mist""]"
"[""honey moth"", ""rufous"", ""bunting"", ""vida loca"", ""desert dusk"", ""sly fox"", ""southern breeze"", ""windsor tan"", ""calypso orange"", ""whitewater bay"", ""loeen look"", ""burnt cinnamon"", ""tailwind"", ""misty lavender"", ""bed and breakfast"", ""newport blue"", ""herbal garden"", ""lite lavender"", ""cardboard"", ""mesa verde tan""]"
"[""happy camper"", ""grazing fawn"", ""soar"", ""tuscan russet"", ""rojo granada"", ""electric lime"", ""cornmeal"", ""chinook"", ""juicy details"", ""jarrah"", ""abalone"", ""meteorological"", ""emerald forest"", ""crisp straw"", ""gladiator gray"", ""orange"", ""fabulous grape"", ""neon light"", ""candy green"", ""ripe currant""]"
"[""pinkish orange"", ""raintree green"", ""garden green"", ""caribbean coral"", ""peach beige"", ""toffee orange"", ""recycled glass"", ""plum harvest"", ""jade mist"", ""chesapeake blue"", ""bonsai"", ""mulberry wine"", ""coffee with cream"", ""azul primavera"", ""papaya whip"", ""shampoo"", ""faded pink"", ""corinthian white"", ""shady willow"", ""cascade white""]"
"[""pretty pink"", ""shadow mountain"", ""evening fog"", ""silver half dollar"", ""precocious"", ""gingery"", ""livingston"", ""rosy blush"", ""dromedary camel"", ""yellow sunshine"", ""milkyway"", ""misty lilac"", ""ruffles"", ""rushing stream"", ""peek a blue"", ""riviera retreat"", ""innocence"", ""leap of faith"", ""desert springs"", ""bravado red""]"
"[""rock candy"", ""southern blue"", ""limon"", ""spring sun"", ""flame"", ""syrup"", ""ocean green"", ""artistic violet"", ""joanna"", ""hot spring stones"", ""norwegian blue"", ""currant red"", ""olivetone"", ""sweet as honey"", ""plymouth brown"", ""mossy green"", ""climate change"", ""time out"", ""cosmopolitan"", ""winter hedge""]"
"[""nevada"", ""bay scallop"", ""teal blast"", ""folly"", ""winter poinsettia"", ""striking"", ""daring"", ""ambitious amber"", ""waiouru"", ""thorny branch"", ""summer in the city"", ""tropical tan"", ""pearly gates"", ""acorn yellow"", ""garden oasis"", ""mojito"", ""cowboy"", ""kiwi"", ""atoll"", ""frost wind""]"
"[""modestly peach"", ""village square"", ""dark harbor"", ""in the woods"", ""blue iolite"", ""sandalwood tan"", ""green meadows"", ""light cornflower blue"", ""hawaiian tan"", ""trellis vine"", ""silver tinsel"", ""honey locust"", ""cambridge blue"", ""hillary"", ""oil cloth"", ""sunday afternoon"", ""morgan hill gold"", ""soft purple"", ""cedar glen"", ""valentine memories""]"
"[""earthen jug"", ""eton blue"", ""kentucky birch"", ""pale avocado"", ""dust storm"", ""strawberry freeze"", ""lavish lavender"", ""cambridge riverbed"", ""chinaberry"", ""meadow trail"", ""lace cap"", ""piggy bank"", ""sapling"", ""wageningen green"", ""roasted hazelnut"", ""brushed aluminum"", ""pueblo"", ""arctic lime"", ""gray cashmere"", ""purply blue""]"
"[""castle path"", ""rookwood medium brown"", ""girls only"", ""brisk blue"", ""wild flower"", ""steel teal"", ""lattice"", ""rob roy"", ""mild blue"", ""tart apple"", ""poo brown"", ""savannah green"", ""cloudburst"", ""intercoastal gray"", ""brilliant rose"", ""quincy tan"", ""julep"", ""newt green"", ""patchwork pink"", ""pink sea salt""]"
"[""green"", ""poetry plum"", ""dusty trail"", ""galactic tint"", ""canoe"", ""palazzo pink"", ""fire coral"", ""sweet basil"", ""lacey pearl"", ""neon yellow"", ""ecru"", ""barney purple"", ""roasted almond"", ""raffia"", ""peace yellow"", ""brunswick green"", ""vomit yellow"", ""flyway"", ""snow drift"", ""whipped mocha""]"
"[""ebony"", ""grape harvest"", ""vibrant"", ""blue blue"", ""party hat"", ""blue lagoon"", ""weird green"", ""tatami mat"", ""antique cameo"", ""van dyke brown"", ""starlit night"", ""rosedale"", ""tequila"", ""crystal clear"", ""chickadee"", ""piper"", ""white willow"", ""cameo pink"", ""ucla blue"", ""canyon mist""]"
"[""pink posey"", ""wanderlust"", ""celadon green"", ""london hue"", ""mistral"", ""lollipop"", ""mild evergreen"", ""cape blue"", ""deep coffee"", ""club navy"", ""persimmon red"", ""mushroom basket"", ""sandwashed driftwood"", ""margarita"", ""imperial jewel"", ""taupetone"", ""glowing apricot"", ""spring wood"", ""pink"", ""medium sky blue""]"
"[""merino wool"", ""fired up"", ""autumn air"", ""spring tulips"", ""hunt club"", ""breakwater white"", ""donkey brown"", ""intuition"", ""empire porcelain"", ""trout gray"", ""colonnade gray"", ""creme brulee"", ""paradise beach"", ""egyptian pyramid"", ""polar frost"", ""soothing celadon"", ""peachy pink"", ""lemon white"", ""darkish blue"", ""seahorse""]"
"[""vert pierre"", ""laurentian red"", ""mermaid sea"", ""lark green"", ""cascades"", ""deer"", ""keystone"", ""exclusive ivory"", ""venetian portico"", ""tea green"", ""rifle green"", ""calla"", ""ripe peach"", ""shenandoah"", ""stiletto"", ""track green"", ""desert echo"", ""kid gloves"", ""bright blue"", ""tall poppy""]"
"[""california poppy"", ""lunar tide"", ""celtic folklore"", ""rosemary green"", ""downing sand"", ""frolic"", ""pink bliss"", ""sweet spiceberry"", ""fuzzy duckling"", ""redwing"", ""porcelain"", ""icy brook"", ""distant gray"", ""trail print"", ""lone star"", ""february frost"", ""violet eclipse"", ""gray mountain"", ""yukon gold"", ""grizzly""]"
"[""smokey lilac"", ""afghan tan"", ""deer field"", ""dark yellow green"", ""el sereno gold"", ""silver charm"", ""baronial brown"", ""la paloma gray"", ""teak wood finish"", ""newburyport blue"", ""sour tarts"", ""fuzzy wuzzy"", ""jay blue"", ""mystic light"", ""spearmint stick"", ""acorn spice"", ""levingston green"", ""glazed pears"", ""burnished pewter"", ""roman silver""]"
"[""green tint"", ""lemon shine"", ""grape vine"", ""saint martin sand"", ""sweet roses"", ""lime granita"", ""brick orange"", ""blue toile"", ""chinese blue"", ""avalon"", ""dell"", ""moon raker"", ""light mocha"", ""rich lilac"", ""she loves pink"", ""bauhaus buff"", ""wild current"", ""brookdale brown"", ""sunkissed peach"", ""jazz blue""]"
"[""electric crimson"", ""sprout"", ""blue angel"", ""bitter lemon"", ""rustic brick"", ""eastern bluebird"", ""snowdrop"", ""cream puff"", ""naval"", ""mantis"", ""blooming aster"", ""arboretum"", ""solar fusion"", ""pueblo brown"", ""moon rock"", ""neon gold"", ""tanbark"", ""show stopper"", ""taupe fedora"", ""sparkling spring""]"
"[""silent night"", ""perennial gold"", ""sonora rose"", ""pinkish grey"", ""winter snow"", ""adirondack brown"", ""snowy pine"", ""cathedral gray"", ""beau blue"", ""silver setting"", ""spiced beige"", ""red hawk"", ""ash violet"", ""soleil"", ""lemon verbena"", ""rosetone"", ""dusty rose"", ""sweet caramel"", ""salt crystal"", ""rosy apple""]"
"[""corn husk"", ""soft mint"", ""burnt sienna"", ""solitaire"", ""baja"", ""poppy"", ""burnt pumpkin"", ""vichyssoise"", ""unpredictable hue"", ""stirring orange"", ""sombrero"", ""new retro"", ""bucolic blue"", ""red wire"", ""portsmouth olive"", ""green leaf"", ""melon"", ""studio mauve"", ""vintage teal"", ""forget me not""]"
"[""pippin"", ""minted"", ""golden archway"", ""woodsmoke"", ""chelsea gray"", ""strike a pose"", ""shipwreck"", ""evening skyline"", ""lemonade"", ""light aquamarine"", ""albescent"", ""chinese gold"", ""yellow highlighter"", ""tiramisu"", ""whiskey barrel"", ""whispering woods"", ""hidden oaks"", ""bonsai tint"", ""dark buff"", ""sea rover""]"
"[""sail"", ""rich chestnut"", ""watercourse"", ""sweet chrysanthemum"", ""desert"", ""loulou"", ""pepper mill"", ""crisp celery"", ""black leather jacket"", ""city scape morning"", ""blushing bride"", ""proper gray"", ""sunny yellow"", ""dark storm cloud"", ""gris volcanico"", ""dozen roses"", ""silver hill"", ""french truffle"", ""casual gray"", ""sheridan gray""]"
"[""brandy cream"", ""golden garden"", ""nano white"", ""cape cod"", ""zinnia gold"", ""husky orange"", ""harmony"", ""lion"", ""amaryllis"", ""joyful lilac"", ""utah sky"", ""berry cheesecake"", ""hilltop"", ""gulf breeze"", ""wales green"", ""pueblo sand"", ""excalibur gray"", ""geranium"", ""pizazz peach"", ""tax break""]"
"[""spiced pumpkin"", ""billiard green"", ""simple white"", ""orange white"", ""moderne white"", ""crushed limestone"", ""townsend harbor brown"", ""cod grey"", ""medium slate blue"", ""mediterranean teal"", ""soothing spring"", ""riviera beach"", ""milkyway galaxy"", ""rose madder"", ""westchester tan"", ""perfect peach"", ""preservation plum"", ""amaranth red"", ""rare gray"", ""safari brown""]"
"[""rosetta"", ""grey river rock"", ""bright star"", ""potpourri green"", ""rusty nail"", ""providence olive"", ""salmon tint"", ""english brown"", ""ice folly"", ""russet"", ""copper river"", ""yorkshire tan"", ""fox hill"", ""lookout point"", ""marlin"", ""little dipper"", ""over the taupe"", ""quiet whisper"", ""cucumber"", ""conifer green""]"
"[""dill pickle"", ""black coral"", ""aurora borealis"", ""serene"", ""edgecomb gray"", ""majestic violet"", ""peach cider"", ""powdered blush"", ""red brown"", ""titanium yellow"", ""pinetop"", ""guesthouse"", ""aquarium blue"", ""shadow wood"", ""golden dunes"", ""amarillo"", ""green bean casserole"", ""georgia peach"", ""catawba"", ""wood brown""]"
"[""minion yellow"", ""green wave"", ""greeny blue"", ""sculptor clay"", ""deep carmine"", ""velvety merlot"", ""purple navy"", ""agave frond"", ""black jack"", ""delano waters"", ""silver sand"", ""sage wisdom"", ""rusty orange"", ""froly"", ""faint peach"", ""leather clutch"", ""spectra blue"", ""lobelia"", ""red theatre"", ""swans down""]"
